"79","Beef brisket","1.00000","medium slice, 1/4 "" thick",".00000",".00000",".00000",".00000","1.44480",".00000","96.60000"
"80","Beef brisket","1.00000","thick slice",".00000",".00000",".00000",".00000","2.16720",".00000","144.90000"
"81","Beef brisket","1.00000"," thin slice",".00000",".00000",".00000",".00000",".72240",".00000","48.30000"
"82","Beef brisket","4.00000","ounces after cooking",".00000",".00000",".00000",".00000","4.00000",".00000","211.60000"
"83","Ground beef (75% lean, regular)","1.00000","medium patty (4 per pound)",".00000",".00000",".00000",".00000","2.69110",".00000","234.60000"
"84","Ground beef (75% lean, regular)","1.00000","ounce after cooking",".00000",".00000",".00000",".00000",".88648",".00000","77.28000"
"85","Ground beef (75% lean, regular)","1.00000","ounce raw (cooked yield)",".00000",".00000",".00000",".00000",".66486",".00000","57.96000"
"86","Ground beef (75% lean, regular)","1.00000","large patty (3 per pound)",".00000",".00000",".00000",".00000","3.57758",".00000","311.88000"
"87","Ground beef (75% lean, regular)","1.00000","medium meatball",".00000",".00000",".00000",".00000",".88648",".00000","77.28000"
"88","Ground beef (75% lean, regular)","1.00000","small patty (5 per pound)",".00000",".00000",".00000",".00000","2.15288",".00000","187.68000"
"89","Ground beef (80% lean)","1.00000","medium patty (4 per pound)",".00000",".00000",".00000",".00000","2.81688",".00000","236.72000"
"90","Low fat ice cream","1.00000","cup",".72199",".00000",".00000",".35894",".23290",".00000","228.79000"
"91","Diet pudding (instant or canned)",".50000","cup (4 fl oz)",".49010",".00000",".00000",".44980",".00000",".00000","105.30000"
"92","Pudding (instant or canned)",".50000","cup (4 fl oz)",".24665",".00000",".00000",".45023",".00000",".00000","133.11000"
"93","Pudding, no sugar added",".50000","cup (4 fl oz)",".54125",".00000",".00000",".47375",".00000",".00000","81.25000"
"94","White sauce (cream sauce)",".25000","cup",".23438",".00000",".00000",".24000",".00000",".00000","90.62500"
"95","Milk gravy",".25000","cup",".19500",".00000",".00000",".24938",".00000",".00000","88.12500"
"96","Cheese (cheddar, Swiss)","1.00000","slice (slice = 1 oz)",".00000",".00000",".00000",".66679",".00000",".00000","114.25050"
"97","Grilled cheese sandwich","1.00000","sandwich","2.03600",".00000",".00000",".49000",".00000",".00000","290.00000"
"98","Turkey lunch meat, fat free","1.00000","ounce",".00000",".00000",".00000",".00000",".98840",".00000","28.56000"
"99","Coffee","1.00000","fast food (16 fl oz order)",".00000",".00000",".00000",".00000",".00000",".00000","14.20000"
"100","Latte","1.00000","medium (14 fl oz order)",".00000",".00000",".00000","1.07304",".00000",".00000","142.80000"
"101","Latte","1.00000","cup",".00000",".00000",".00000",".53652",".00000",".00000","71.40000"
"102","Latte","1.00000","large (17 fl oz order)",".00000",".00000",".00000","1.27555",".00000",".00000","169.75000"
"103","Latte","1.00000","small (11 fl oz order)",".00000",".00000",".00000",".80478",".00000",".00000","107.10000"
"104","Cappuccino","1.00000","medium (17 fl oz order)",".00000",".00000",".00000","1.01088",".00000",".00000","160.38000"
"105","Cappuccino","1.00000","large (20 fl oz order)",".00000",".00000",".00000","1.20224",".00000",".00000","190.74000"
"106","Cappuccino","1.00000","mug (8 fl oz order)",".00000",".00000",".00000",".49920",".00000",".00000","79.20000"
"107","Cappuccino","1.00000","small (13 fl oz order)",".00000",".00000",".00000",".75920",".00000",".00000","120.45000"
"108","Turkey breast lunch meat, fat free","1.00000","ounce",".00000",".00000",".00000",".00000",".98840",".00000","23.52000"
"109","Tofu, firm",".25000","cup",".00000",".00000",".00000",".00000",".00000",".00000","44.10000"
"110","Tofu, firm",".25000","block (3 oz)",".00000",".00000",".00000",".00000",".00000",".00000","56.70000"
"111","Fried tofu",".25000","cup",".00000",".00000",".00000",".00000",".00000",".00000","168.02000"
"112","Fried tofu","1.00000","piece",".00000",".00000",".00000",".00000",".00000",".00000","35.23000"
"113","Ground beef (95% lean)","1.00000","medium patty (4 per pound)",".00000",".00000",".00000",".00000","3.60060",".00000","167.28000"
"114","Ground beef (95% lean)","1.00000","ounce after cooking",".00000",".00000",".00000",".00000",".98840",".00000","45.92000"
"115","Ground beef (95% lean)","1.00000","ounce raw (cooked yield)",".00000",".00000",".00000",".00000",".91780",".00000","42.64000"
"116","Ground beef (95% lean)","1.00000","large patty (3 per pound)",".00000",".00000",".00000",".00000","4.73020",".00000","219.76000"
"117","Ground beef (95% lean)","1.00000","medium meatball",".00000",".00000",".00000",".00000",".98840",".00000","45.92000"
"118","Ground beef (95% lean)","1.00000","small patty (5 per pound)",".00000",".00000",".00000",".00000","2.85930",".00000","132.84000"
"119","Ground beef (90% lean)","1.00000","medium patty (4 per pound)",".00000",".00000",".00000",".00000","3.43827",".00000","201.96000"
"120","Ground beef (90% lean)","1.00000","ounce after cooking",".00000",".00000",".00000",".00000",".97244",".00000","57.12000"
"121","Ground beef (90% lean)","1.00000","ounce raw (cooked yield)",".00000",".00000",".00000",".00000",".86825",".00000","51.00000"
"122","Ground beef (90% lean)","1.00000","large patty (3 per pound)",".00000",".00000",".00000",".00000","4.54963",".00000","267.24000"
"123","Ground beef (90% lean)","1.00000","medium meatball",".00000",".00000",".00000",".00000",".97244",".00000","57.12000"
"124","Ground beef (90% lean)","1.00000","small patty (5 per pound)",".00000",".00000",".00000",".00000","2.74367",".00000","161.16000"
"125","Whole milk","1.00000","cup",".00000",".00000",".00000","1.00040",".00000",".00000","146.40000"
"126","Whole milk","8.00000","fluid ounces",".00000",".00000",".00000","1.00040",".00000",".00000","146.40000"
"127","2% milk (reduced fat)","1.00000","cup",".00000",".00000",".00000","1.00040",".00000",".00000","122.00000"
"128","2% milk (reduced fat)","8.00000","fluid ounces",".00000",".00000",".00000","1.00040",".00000",".00000","122.00000"
"129","1% milk (low fat)","1.00000","cup",".00000",".00000",".00000","1.00040",".00000",".00000","102.48000"
"130","1% milk (low fat)","8.00000","fluid ounces",".00000",".00000",".00000","1.00040",".00000",".00000","102.48000"
